iter	Logloss
0	0.683953661
1	0.6744769297
2	0.667145111
3	0.660362232
4	0.6540139593
5	0.6467600826
6	0.6400023738
7	0.6347767211
8	0.6284605299
9	0.6238104326
10	0.6198957567
11	0.6159313596
12	0.6121118833
13	0.6112081195
14	0.6060477283
15	0.6020556375
16	0.5995191712
17	0.5959625744
18	0.5935703576
19	0.5917231072
20	0.5883027923
21	0.5839346422
22	0.5799252064
23	0.5746138992
24	0.5720063377
25	0.5675758836
26	0.5660376986
27	0.5632766413
28	0.5611174201
29	0.5593178876
30	0.5574927521
31	0.5543203412
32	0.5521979568
33	0.5500705706
34	0.5474189278
35	0.5445749214
36	0.5404016411
37	0.5375179671
38	0.53526336
39	0.5328355948
40	0.5312309976
41	0.5298451343
42	0.5286623346
43	0.5265665407
44	0.5241182251
45	0.5213128274
46	0.5188555159
47	0.5169923926
48	0.5137060342
49	0.5127740293
50	0.511288954
51	0.5102105272
52	0.5081904898
53	0.5067525886
54	0.5041183658
55	0.5034558869
56	0.5004891737
57	0.4992708121
58	0.4972006158
59	0.4953420802
60	0.4944200494
61	0.49300922
62	0.492107532
63	0.4893460348
64	0.4881926293
65	0.4864115749
66	0.4846637102
67	0.4828064601
68	0.4814712361
69	0.4790794754
70	0.4769563823
71	0.4749375849
72	0.4725881435
73	0.4709981825
74	0.4683913955
75	0.4663000383
76	0.4647226619
77	0.4626959203
78	0.4621651291
79	0.4601043433
80	0.4595730123
81	0.4569962293
82	0.4558293289
83	0.453183107
84	0.4519638747
85	0.4497385212
86	0.4489086544
87	0.4477665401
88	0.4463419505
89	0.4445492298
90	0.4432630528
91	0.4412209598
92	0.4403691058
93	0.4387621141
94	0.4376496567
95	0.4354145864
96	0.433089007
97	0.4322483575
98	0.4314731891
99	0.4306263315
100	0.4287213465
101	0.4273963696
102	0.4263953751
103	0.4248143383
104	0.4239258086
105	0.423237606
106	0.4217711916
107	0.4202947329
108	0.4182944721
109	0.416044112
110	0.4151514743
111	0.4128618642
112	0.4108481325
113	0.4102175247
114	0.4089592413
115	0.4083391816
116	0.4081447325
117	0.4070163188
118	0.4059041614
119	0.4038534058
120	0.4033926316
121	0.4025020595
122	0.4007590229
123	0.3993742074
124	0.3976726362
125	0.3972500873
126	0.3962079433
127	0.3945847345
128	0.3925621973
129	0.390403191
130	0.3882426157
131	0.3863586697
132	0.3858811736
133	0.3852040081
134	0.3845490799
135	0.3833519789
136	0.3814565668
137	0.3797101094
138	0.377963615
139	0.3765936282
140	0.3762173199
141	0.3729891448
142	0.370801565
143	0.3696452856
144	0.3683115441
145	0.3671720224
146	0.365866411
147	0.3639216333
148	0.3626706149
149	0.3617516881
150	0.3606611496
151	0.3599552051
152	0.3583298048
153	0.3573836184
154	0.3563439114
155	0.3557344432
156	0.3540684177
157	0.353183653
158	0.3523622644
159	0.350130893
160	0.3489270369
161	0.3479400324
162	0.3458285302
163	0.3443606931
164	0.3436929478
165	0.3422500605
166	0.3414585194
167	0.3396296114
168	0.3371894785
169	0.3354171539
170	0.33383579
171	0.3332884496
172	0.3323162228
173	0.3314374135
174	0.3310103352
175	0.3301273204
176	0.3293545464
177	0.3272756981
178	0.3265478666
179	0.3255271512
180	0.3239161261
181	0.3233759529
182	0.3222782005
183	0.321538345
184	0.3192231578
185	0.3184280083
186	0.3181937525
187	0.3173362469
188	0.316346585
189	0.3149043634
190	0.31360029
191	0.3129788427
192	0.312423416
193	0.3104466274
194	0.3098108432
195	0.3085526236
196	0.306829044
197	0.3053741278
198	0.3039911557
199	0.3037242808
200	0.3024502438
201	0.3015006431
202	0.3005878954
203	0.2986910055
204	0.2981726644
205	0.2969325957
206	0.295446147
207	0.2946065595
208	0.2941898244
209	0.2936321207
210	0.2921176607
211	0.2917292015
212	0.290938295
213	0.2903105299
214	0.2899070749
215	0.2887988029
216	0.2877635032
217	0.2866300815
218	0.2855466212
219	0.2848185879
220	0.283431215
221	0.2827735163
222	0.2821217849
223	0.2813041957
224	0.2801384761
225	0.2795786536
226	0.2782710042
227	0.2779435756
228	0.2775454401
229	0.276905472
230	0.2763098465
231	0.2744825797
232	0.2736317609
233	0.2730122036
234	0.2721823039
235	0.2715333841
236	0.2710138407
237	0.2694590226
238	0.268945278
239	0.2681585468
240	0.2670986545
241	0.26656787
242	0.2659871061
243	0.2655026423
244	0.2650269089
245	0.2635604865
246	0.2621955135
247	0.2610433796
248	0.2607484275
249	0.25871712
250	0.2570560286
251	0.2566017478
252	0.2557226776
253	0.2544677206
254	0.2538651525
255	0.2526777625
256	0.2514302074
257	0.2511317056
258	0.2505247984
259	0.2503813562
260	0.2491774287
261	0.2486186095
262	0.2480413592
263	0.2471618505
264	0.2465819122
265	0.2458642282
266	0.2456845469
267	0.2449596759
268	0.2441872061
269	0.2429833535
270	0.2420460379
271	0.2414203217
272	0.2412787011
273	0.2406865269
274	0.2401704912
275	0.2388863875
276	0.2375850893
277	0.2371338468
278	0.2359712656
279	0.2356824453
280	0.2346237068
281	0.2331887339
282	0.2328969095
283	0.2323021517
284	0.232063251
285	0.231546243
286	0.2307339011
287	0.2302786488
288	0.2291820544
289	0.2283477709
290	0.2277463469
291	0.2275034563
292	0.2264199527
293	0.2254896323
294	0.2251090365
295	0.223880999
296	0.2233607396
297	0.2229830846
298	0.2226383016
299	0.2221858773
