iter	Passed	Remaining
0	0	265
1	1	230
2	2	213
3	2	203
4	3	196
5	3	191
6	4	188
7	5	185
8	5	187
9	6	187
10	7	186
11	7	186
12	8	185
13	8	183
14	9	181
15	10	180
16	10	179
17	11	178
18	12	178
19	12	178
20	13	182
21	14	183
22	15	182
23	15	181
24	16	179
25	16	178
26	17	177
27	18	176
28	18	175
29	19	173
30	19	172
31	20	171
32	21	172
33	22	172
34	22	171
35	23	170
36	23	169
37	24	168
38	25	167
39	25	166
40	26	165
41	26	165
42	27	164
43	28	163
44	28	164
45	29	164
46	30	163
47	30	162
48	31	161
49	32	160
50	32	159
51	33	159
52	33	158
53	34	157
54	35	156
55	35	155
56	36	156
57	37	155
58	37	155
59	38	154
60	39	153
61	39	152
62	40	151
63	41	151
64	41	151
65	42	150
66	43	149
67	43	148
68	44	149
69	45	148
70	45	147
71	46	147
72	47	146
73	47	145
74	48	144
75	48	143
76	49	143
77	50	142
78	50	141
79	51	140
80	52	140
81	52	140
82	53	139
83	53	138
84	54	137
85	55	137
86	55	137
87	56	136
88	57	135
89	58	135
90	58	134
91	59	134
92	60	133
93	60	133
94	61	132
95	62	131
96	62	131
97	63	130
98	63	129
99	64	128
100	64	128
101	65	127
102	66	126
103	66	125
104	67	125
105	68	124
106	68	124
107	69	123
108	70	122
109	70	122
110	71	121
111	71	120
112	72	119
113	73	119
114	73	118
115	74	117
116	74	117
117	75	116
118	76	115
119	76	115
120	77	114
121	77	113
122	78	113
123	79	112
124	79	111
125	80	110
126	80	110
127	81	109
128	82	108
129	82	108
130	83	107
131	83	106
132	84	106
133	85	105
134	85	104
135	86	104
136	87	103
137	87	102
138	88	102
139	88	101
140	89	100
141	90	100
142	90	99
143	91	99
144	92	98
145	92	97
146	93	97
147	93	96
148	94	95
149	95	95
150	95	94
151	96	93
152	96	93
153	97	92
154	98	91
155	98	91
156	99	90
157	100	89
158	100	89
159	101	88
160	101	88
161	102	87
162	103	86
163	103	86
164	104	85
165	104	84
166	105	84
167	106	83
168	106	82
169	107	82
170	108	81
171	108	80
172	109	80
173	110	79
174	110	79
175	111	78
176	111	77
177	112	77
178	113	76
179	113	75
180	114	75
181	115	74
182	115	73
183	116	73
184	116	72
185	117	72
186	118	71
187	118	70
188	119	70
189	119	69
190	120	68
191	121	68
192	121	67
193	122	66
194	123	66
195	123	65
196	124	64
197	124	64
198	125	63
199	126	63
200	126	62
201	127	61
202	127	61
203	128	60
204	129	59
205	129	59
206	130	58
207	131	58
208	131	57
209	132	56
210	133	56
211	133	55
212	134	54
213	134	54
214	135	53
215	136	52
216	136	52
217	137	51
218	138	51
219	138	50
220	139	49
221	139	49
222	140	48
223	141	47
224	141	47
225	142	46
226	142	45
227	143	45
228	144	44
229	144	44
230	145	43
231	146	42
232	146	42
233	147	41
234	148	40
235	148	40
236	149	39
237	149	39
238	150	38
239	151	37
240	151	37
241	152	36
242	153	35
243	153	35
244	154	34
245	154	34
246	155	33
247	156	32
248	156	32
249	157	31
250	158	30
251	158	30
252	159	29
253	160	29
254	160	28
255	161	27
256	162	27
257	162	26
258	163	25
259	163	25
260	164	24
261	164	23
262	165	23
263	166	22
264	166	22
265	167	21
266	168	20
267	168	20
268	169	19
269	170	18
270	170	18
271	171	17
272	172	17
273	172	16
274	173	15
275	174	15
276	174	14
277	175	13
278	176	13
279	176	12
280	177	11
281	177	11
282	178	10
283	179	10
284	179	9
285	180	8
286	180	8
287	181	7
288	182	6
289	182	6
290	183	5
291	184	5
292	184	4
293	185	3
294	186	3
295	186	2
296	187	1
297	187	1
298	188	0
299	189	0
